hatespeech,class,cleaned_text,preprocessed_text
"@david.wood17 why don't you dare to swear and bet? Because you're a loser. If you want to throw a stone, hide your hand. Your account is just fake. You read. Don't have glass? Let you see how cowardly you are",1,  wood   why don t you dare to swear and bet  because you re a loser  if you want to throw a stone  hide your hand  your account is just fake  you read  don t have glass  let you see how cowardly you are,wood dare swear bet loser want throw stone hide hand account fake read glass let see cowardly
"haha, somad somad. Dirty face, 0% brain, how come you're not embarrassed to admit to being a Ustad...",1,haha  somad somad  dirty face     brain  how come you re not embarrassed to admit to being a ustad   ,haha somad somad dirty face brain come embarrassed admit ustad
winning or losing is part of the game. We are proud of indian team,0,winning or losing is part of the game  we are proud of indian team,winning losing part game proud indian team
"Hahaha, it's getting more and more stressful for the Sableng people, in the past King Salma was also involved in irjik matters, but now it's getting even worse for the heads of neighboring countries, that's how bad it is for your mad followers...",1,hahaha  it s getting more and more stressful for the sableng people  in the past king salma was also involved in irjik matters  but now it s getting even worse for the heads of neighboring countries  that s how bad it is for your mad followers   ,hahaha getting stressful sableng people past king salma also involved irjik matter getting even worse head neighboring country bad mad follower
"Believe in yourself, because you're capable of amazing things",0,believe in yourself  because you re capable of amazing things,believe capable amazing thing
LIVE PSI = Indonesian SAMPAH party..... ...,1,live psi   indonesian sampah party         ,live psi indonesian sampah party
":v How much do you pay for fake websites, so you're willing to go to hell, the Bible doesn't teach you that, right? Has the book been amended by the Jews? Why are people who are crucified considered gods? And why did the Jews crucify their god but the people didn't get angry with their god on the cross? It means that God is happy m",1, v how much do you pay for fake websites  so you re willing to go to hell  the bible doesn t teach you that  right  has the book been amended by the jews  why are people who are crucified considered gods  and why did the jews crucify their god but the people didn t get angry with their god on the cross  it means that god is happy m,v much pay fake website willing go hell bible teach right book amended jew people crucified considered god jew crucify god people get angry god cross mean god happy
". Not in my right mind, very stressed, hopefully I'll kill myself soon... ï¿½",1,  not in my right mind  very stressed  hopefully i ll kill myself soon       ,right mind stressed hopefully kill soon
. There are still people like that who defend it... Astafir... Be less stupid,1,  there are still people like that who defend it    astafir    be less stupid,still people like defend astafir le stupid
"... in his country hunted as a criminal, here he is hailed in the palace. Very tragic. Who is stupid and ridiculous. Subhanallah.",1,    in his country hunted as a criminal  here he is hailed in the palace  very tragic  who is stupid and ridiculous  subhanallah ,country hunted criminal hailed palace tragic stupid ridiculous subhanallah
"... Indeed, God wants all women in this world at all times to wear uniforms like this. You really like to make things difficult for yourself. Idiot camel.",1,    indeed  god wants all women in this world at all times to wear uniforms like this  you really like to make things difficult for yourself  idiot camel ,indeed god want woman world time wear uniform like really like make thing difficult idiot camel
"... Please understand the morals of a thug, slave and snob",1,    please understand the morals of a thug  slave and snob,please understand moral thug slave snob
"... That's the nature of camels. If you are guilty, first: denying it, second: ignoring it, third: blaming circumstances or other people, then fourth: slander wal congregation. Just look at what Sengkuni al Jogjani did, the pattern is like that.",1,    that s the nature of camels  if you are guilty  first  denying it  second  ignoring it  third  blaming circumstances or other people  then fourth  slander wal congregation  just look at what sengkuni al jogjani did  the pattern is like that ,nature camel guilty first denying second ignoring third blaming circumstance people fourth slander wal congregation look sengkuni al jogjani pattern like
"... So to capture the votes of those who worship stones and pee camels, there is only one way, namely as if the incumbent is an insulter, a blasphemer, an oppressor of religion, even though there are no valid facts and data. With lies and slander that are repeated and congregated",1,    so to capture the votes of those who worship stones and pee camels  there is only one way  namely as if the incumbent is an insulter  a blasphemer  an oppressor of religion  even though there are no valid facts and data  with lies and slander that are repeated and congregated,capture vote worship stone pee camel one way namely incumbent insulter blasphemer oppressor religion even though valid fact data lie slander repeated congregated
"... If God's writing is in Chinese letters, Korean letters, or Latin letters then it is not sacred, not a miracle, not a sign of Allah's greatness?? That's how stupid I think it is. Is it true that God can only write Arabic? Very ridiculous. But never mind, people pee on",1,    if god s writing is in chinese letters  korean letters  or latin letters then it is not sacred  not a miracle  not a sign of allah s greatness   that s how stupid i think it is  is it true that god can only write arabic  very ridiculous  but never mind  people pee on,god writing chinese letter korean letter latin letter sacred miracle sign allah greatness stupid think true god write arabic ridiculous never mind people pee
"... It looks like who wants to be in power, to replace the current government. But ambition without achievement, willing but unable. In the end, his words became clometan, unfounded, he became insane, his behavior was strange. These are frustrated people. You understand",1,    it looks like who wants to be in power  to replace the current government  but ambition without achievement  willing but unable  in the end  his words became clometan  unfounded  he became insane  his behavior was strange  these are frustrated people  you understand,look like want power replace current government ambition without achievement willing unable end word became clometan unfounded became insane behavior strange frustrated people understand
... Where are the voices of the Wan Abud KW212 alumni? How come it's only on plonga plongo.!!???,1,    where are the voices of the wan abud kw    alumni  how come it s only on plonga plongo      ,voice wan abud kw alumnus come plonga plongo
"... Comparing humans with animals is super stupid, not worth it... So if the question is reversed, permadi arya is not insulting, not corrupt, etc., then he is the same as the noble dog earlier. ï¿½, agree?",1,    comparing humans with animals is super stupid  not worth it    so if the question is reversed  permadi arya is not insulting  not corrupt  etc   then he is the same as the noble dog earlier       agree ,comparing human animal super stupid worth question reversed permadi arya insulting corrupt etc noble dog earlier agree
"... According to Sengkuni al Jogjani, those who deserve the finger of the Aullo Party coalition are the Sharia Corruption Association, the Intolerant and Racist Movement, and the Anti-Nationalist Brotherhood. The Halal Certificate from the sky is being processed by Sengkuni. Share immediately",1,    according to sengkuni al jogjani  those who deserve the finger of the aullo party coalition are the sharia corruption association  the intolerant and racist movement  and the anti nationalist brotherhood  the halal certificate from the sky is being processed by sengkuni  share immediately,according sengkuni al jogjani deserve finger aullo party coalition sharia corruption association intolerant racist movement anti nationalist brotherhood halal certificate sky processed sengkuni share immediately
"... You don't need to think about it, just relax when facing people who are frustrated, have a lot of passion and don't have enough energy. Just think of people who are a bit crazy, that's all. The important thing is that we keep working, working and working. Cheer up bro.!!!",1,    you don t need to think about it  just relax when facing people who are frustrated  have a lot of passion and don t have enough energy  just think of people who are a bit crazy  that s all  the important thing is that we keep working  working and working  cheer up bro    ,need think relax facing people frustrated lot passion enough energy think people bit crazy important thing keep working working working cheer bro
".... This is an example that represents the akhlakul kharimah of the KW 212 camel cadres. What would happen, if they could control the Republic of Indonesia, people with the face of the devil syaitonirojim like this could rob almost 2 trillion in money. Even though there are still many defenders, that's possible",1,     this is an example that represents the akhlakul kharimah of the kw     camel cadres  what would happen  if they could control the republic of indonesia  people with the face of the devil syaitonirojim like this could rob almost   trillion in money  even though there are still many defenders  that s possible,example represents akhlakul kharimah kw camel cadre would happen could control republic indonesia people face devil syaitonirojim like could rob almost trillion money even though still many defender possible
".... This is a picture of a child raised by the religious people of the Camel tribe. If you are not saved from the teachings of the desert devil, you can be sure that you will most likely become a terrorist, at least a thug in a dress. Insha Allah.",1,     this is a picture of a child raised by the religious people of the camel tribe  if you are not saved from the teachings of the desert devil  you can be sure that you will most likely become a terrorist  at least a thug in a dress  insha allah ,picture child raised religious people camel tribe saved teaching desert devil sure likely become terrorist least thug dress insha allah
".... That is a description of the character and morals of the Wahhabi Takfiri followers. Begundal wan Abud, Jongos bani camel, anti-NKRI and Pancasila. The heroes of their own country are being disgraced, accused of being sex slaves. It's outrageous, they say they are religious people, but their mouths are dirty and rotten, p",1,     that is a description of the character and morals of the wahhabi takfiri followers  begundal wan abud  jongos bani camel  anti nkri and pancasila  the heroes of their own country are being disgraced  accused of being sex slaves  it s outrageous  they say they are religious people  but their mouths are dirty and rotten  p,description character moral wahhabi takfiri follower begundal wan abud jongos ban camel anti nkri pancasila hero country disgraced accused sex slave outrageous say religious people mouth dirty rotten p
".... In fact, this film was made to cover the scenes that you expect. Do you understand!!?? Surely you haven't drunk Sharia camel pee.. definitely.!!!",1,     in fact  this film was made to cover the scenes that you expect  do you understand     surely you haven t drunk sharia camel pee   definitely    ,fact film made cover scene expect understand surely drunk sharia camel pee definitely
"Your passion is inspiring. Keep following your heart, it knows the way",0,your passion is inspiring  keep following your heart  it knows the way,passion inspiring keep following heart know way
virat kohli played well today,0,virat kohli played well today,virat kohli played well today
.... It has been acknowledged that many supporters of the A-SU pair are mentally ill.,1,     it has been acknowledged that many supporters of the a su pair are mentally ill ,acknowledged many supporter su pair mentally ill
".... When does he work, wan Abud, why is he just joking around and whining? Indeed, the Wan Abud species is characterized by its inability to work properly and correctly, so its actions only cause trouble to the community.",1,     when does he work  wan abud  why is he just joking around and whining  indeed  the wan abud species is characterized by its inability to work properly and correctly  so its actions only cause trouble to the community ,work wan abud joking around whining indeed wan abud specie characterized inability work properly correctly action cause trouble community
".... Poor person, living in delusion, living in his own world due to the brainwashing of Wahhabi Takfiri teachings. But if it is done consciously, it is essentially a criminal, anti-NKRI, the 1945 Constitution and Pancasila. This means there is no need for mercy. Just crush it",1,     poor person  living in delusion  living in his own world due to the brainwashing of wahhabi takfiri teachings  but if it is done consciously  it is essentially a criminal  anti nkri  the      constitution and pancasila  this means there is no need for mercy  just crush it,poor person living delusion living world due brainwashing wahhabi takfiri teaching done consciously essentially criminal anti nkri constitution pancasila mean need mercy crush
.... Like flies stuck in the trash. What a waste of society.,1,     like flies stuck in the trash  what a waste of society ,like fly stuck trash waste society
".... In the future, don't let any corporation, agency or individual ever accept PT graduates who are KW4 students, with little brains like this. People like this will have no use, no achievements and no added value for employees. On the contrary",1,     in the future  don t let any corporation  agency or individual ever accept pt graduates who are kw  students  with little brains like this  people like this will have no use  no achievements and no added value for employees  on the contrary,future let corporation agency individual ever accept pt graduate kw student little brain like people like use achievement added value employee contrary
".... Seizures and possessed by a desert genie, give him camel urine. God willing, it will get worse!!",1,     seizures and possessed by a desert genie  give him camel urine  god willing  it will get worse  ,seizure possessed desert genie give camel urine god willing get worse
.... Very suitable. Sharia Corruption Association and cheaters of the Koplo community. Change the name to PKSP aka Community of Sharia Corruption and Fraud,1,     very suitable  sharia corruption association and cheaters of the koplo community  change the name to pksp aka community of sharia corruption and fraud,suitable sharia corruption association cheater koplo community change name pksp aka community sharia corruption fraud
Your authenticity is refreshing,0,your authenticity is refreshing,authenticity refreshing
"Moral crisis, admin, criticizing with impolite and degrading words.",1,moral crisis  admin  criticizing with impolite and degrading words ,moral crisis admin criticizing impolite degrading word
"CHRISTIANS ARE Cunning Religions, Heretical Religions, Who Perform Same-Sex Marriages and Look for New Congregations with the Lure of Money (read CHRISTIANIZATION)",1,christians are cunning religions  heretical religions  who perform same sex marriages and look for new congregations with the lure of money  read christianization ,christian cunning religion heretical religion perform sex marriage look new congregation lure money read christianization
