hatespeech,class
"@david.wood17 why don't you dare to swear and bet? Because you're a loser. If you want to throw a stone, hide your hand. Your account is just fake. You read. Don't have glass? Let you see how cowardly you are",1
"haha, somad somad. Dirty face, 0% brain, how come you're not embarrassed to admit to being a Ustad...",1
winning or losing is part of the game. We are proud of indian team,0
"Hahaha, it's getting more and more stressful for the Sableng people, in the past King Salma was also involved in irjik matters, but now it's getting even worse for the heads of neighboring countries, that's how bad it is for your mad followers...",1
"Believe in yourself, because you're capable of amazing things",0
LIVE PSI = Indonesian SAMPAH party..... ...,1
":v How much do you pay for fake websites, so you're willing to go to hell, the Bible doesn't teach you that, right? Has the book been amended by the Jews? Why are people who are crucified considered gods? And why did the Jews crucify their god but the people didn't get angry with their god on the cross? It means that God is happy m",1
". Not in my right mind, very stressed, hopefully I'll kill myself soon... �",1
. There are still people like that who defend it... Astafir... Be less stupid,1
"... in his country hunted as a criminal, here he is hailed in the palace. Very tragic. Who is stupid and ridiculous. Subhanallah.",1
"... Indeed, God wants all women in this world at all times to wear uniforms like this. You really like to make things difficult for yourself. Idiot camel.",1
"... Please understand the morals of a thug, slave and snob",1
"... That's the nature of camels. If you are guilty, first: denying it, second: ignoring it, third: blaming circumstances or other people, then fourth: slander wal congregation. Just look at what Sengkuni al Jogjani did, the pattern is like that.",1
"... So to capture the votes of those who worship stones and pee camels, there is only one way, namely as if the incumbent is an insulter, a blasphemer, an oppressor of religion, even though there are no valid facts and data. With lies and slander that are repeated and congregated",1
"... If God's writing is in Chinese letters, Korean letters, or Latin letters then it is not sacred, not a miracle, not a sign of Allah's greatness?? That's how stupid I think it is. Is it true that God can only write Arabic? Very ridiculous. But never mind, people pee on",1
"... It looks like who wants to be in power, to replace the current government. But ambition without achievement, willing but unable. In the end, his words became clometan, unfounded, he became insane, his behavior was strange. These are frustrated people. You understand",1
... Where are the voices of the Wan Abud KW212 alumni? How come it's only on plonga plongo.!!???,1
"... Comparing humans with animals is super stupid, not worth it... So if the question is reversed, permadi arya is not insulting, not corrupt, etc., then he is the same as the noble dog earlier. �, agree?",1
"... According to Sengkuni al Jogjani, those who deserve the finger of the Aullo Party coalition are the Sharia Corruption Association, the Intolerant and Racist Movement, and the Anti-Nationalist Brotherhood. The Halal Certificate from the sky is being processed by Sengkuni. Share immediately",1
"... You don't need to think about it, just relax when facing people who are frustrated, have a lot of passion and don't have enough energy. Just think of people who are a bit crazy, that's all. The important thing is that we keep working, working and working. Cheer up bro.!!!",1
".... This is an example that represents the akhlakul kharimah of the KW 212 camel cadres. What would happen, if they could control the Republic of Indonesia, people with the face of the devil syaitonirojim like this could rob almost 2 trillion in money. Even though there are still many defenders, that's possible",1
".... This is a picture of a child raised by the religious people of the Camel tribe. If you are not saved from the teachings of the desert devil, you can be sure that you will most likely become a terrorist, at least a thug in a dress. Insha Allah.",1
".... That is a description of the character and morals of the Wahhabi Takfiri followers. Begundal wan Abud, Jongos bani camel, anti-NKRI and Pancasila. The heroes of their own country are being disgraced, accused of being sex slaves. It's outrageous, they say they are religious people, but their mouths are dirty and rotten, p",1
".... In fact, this film was made to cover the scenes that you expect. Do you understand!!?? Surely you haven't drunk Sharia camel pee.. definitely.!!!",1
"Your passion is inspiring. Keep following your heart, it knows the way",0
virat kohli played well today,0
.... It has been acknowledged that many supporters of the A-SU pair are mentally ill.,1
".... When does he work, wan Abud, why is he just joking around and whining? Indeed, the Wan Abud species is characterized by its inability to work properly and correctly, so its actions only cause trouble to the community.",1
".... Poor person, living in delusion, living in his own world due to the brainwashing of Wahhabi Takfiri teachings. But if it is done consciously, it is essentially a criminal, anti-NKRI, the 1945 Constitution and Pancasila. This means there is no need for mercy. Just crush it",1
.... Like flies stuck in the trash. What a waste of society.,1
".... In the future, don't let any corporation, agency or individual ever accept PT graduates who are KW4 students, with little brains like this. People like this will have no use, no achievements and no added value for employees. On the contrary",1
".... Seizures and possessed by a desert genie, give him camel urine. God willing, it will get worse!!",1
.... Very suitable. Sharia Corruption Association and cheaters of the Koplo community. Change the name to PKSP aka Community of Sharia Corruption and Fraud,1
Your authenticity is refreshing,0
"Moral crisis, admin, criticizing with impolite and degrading words.",1
"CHRISTIANS ARE Cunning Religions, Heretical Religions, Who Perform Same-Sex Marriages and Look for New Congregations with the Lure of Money (read CHRISTIANIZATION)",1
"Hypocritical Christians, hypocritical Muslims and hypocritical Chinese who are members of the Ahoker account are more dangerous than Zionists... especially China, they are more dangerous than Zionists... Beware, Indonesia",1
"Packaged rice Christians want to seek support, but they don't sell",1
Christian Jesus is worshiped by Christian bastard dogs,1
"Criticism is okay, don't be stupid. bad admin",1
Criticism and insulting are different... @fahiraidris,1
Why are critics hostile.....the regime is crazy.,1
"The people's criticism of Jokowi is like a warrior who uses drunken moves, just like that!! One of them is that animal, which has the name Fahira!",1
"It's okay to be critical but rational, why are you keeping an idiot for studying?",1
"It's okay to be critical, don't be stupid because you don't have a brain until @zaaditt",1
"It's okay to be critical, don't be stupid. yeah no",1
"Your brain is critical, hahaha",1
"pks,,,,goblog is maintained",1
"PKS: Cow Dick Party... PAN: Fucking Dog Party, and Gerindra: People's Intimidation Movement... These 3 parties are traitorous parties...",1
"PKS ""Grotch Group Party""....",1
PKS (Satanic Group Party) which will prepare 9 vice presidential candidates:,1
PKS = IM's babu. �ð����ð����ð���¿,1
Your kindness makes a difference every day,0
PKS = Prosperous Communist Party,1
Pks = pki isis ideology,1
Pks what psk is this...why is it so dirty?,1
Pks asu,1
PKS ASUUU,1
As long as you are not an infidel... eating people's money is not haram... live radical Islam!! �ð����ð����ð���,1
"As long as he doesn't come home to solve the case so he knows whether he is right or wrong, then during that time he will be branded as a pervert",1
"All this time I thought PKS was the most unclean party, with the most despicable corruption cases, corruption of imported cattle, and the money was used to play tricks. Then one of his cadres was caught having sex with his brother in the car. The governor of North Sumatra in Gatot was arrested by the Corruption Eradication Commission (KPK) because of corruption in social assistance funds",1
All this time you've been shaking your balls there,1
"So far, who are the people who are attacking the legitimate government? ����ð����ð���",1
You look pretty always,0
